production_countries,number,production_budget,box_office
United States,"22,818","$37,216,204","$608,965,610,404"
United Kingdom,"4,064","$30,196,099","$53,581,170,522"
China,"2,346","$35,217,193","$42,113,301,920"
France,"3,735","$22,241,560","$20,921,352,391"
Japan,"1,582","$30,077,292","$15,919,176,067"
Germany,"1,729","$30,115,030","$10,787,555,673"
South Korea,"1,633","$16,756,481","$8,978,802,788"
Canada,"1,748","$20,573,786","$8,430,184,954"
Australia,911,"$30,952,898","$8,193,314,570"
India,"2,109","$14,919,521","$7,796,483,216"
New Zealand,249,"$61,126,207","$7,342,711,129"
Hong Kong,423,"$24,077,778","$7,209,794,833"
Italy,"1,642","$16,276,774","$4,413,955,536"
Spain,"1,568","$23,391,671","$4,197,625,834"
Russian Federation,"1,113","$12,590,889","$2,452,445,079"
Belgium,623,"$16,113,575","$2,356,196,332"
Mexico,531,"$12,075,000","$1,835,894,063"
Netherlands,501,"$18,963,043","$1,363,546,816"
Ireland,339,"$17,681,032","$1,290,735,044"
Sweden,293,"$13,833,333","$1,290,366,211"
Brazil,450,"$14,559,868","$1,116,567,193"
Turkey,"1,065","$10,733,333","$1,007,599,479"
"Taiwan, Province of China",148,"$13,685,714","$883,513,613"
Denmark,290,"$12,659,306","$851,962,094"
Finland,146,"$19,150,018","$719,893,970"
Czech Republic,355,"$31,883,333","$701,564,093"
Switzerland,259,"$21,182,727","$698,002,349"
Argentina,868,"$11,075,000","$638,184,604"
South Africa,155,"$18,395,526","$608,288,903"
Poland,310,"$5,228,400","$597,387,447"
Hungary,121,"$32,644,818","$545,900,526"
United Arab Emirates,41,"$24,957,500","$539,709,497"
Malta,14,"$77,500,000","$500,150,082"
Austria,189,"$11,041,667","$317,901,139"
Panama,9,"$36,000,000","$305,439,992"
Luxembourg,110,"$19,141,667","$273,275,734"
Norway,204,"$5,703,846","$267,902,045"
Tunisia,23,"$35,000,000","$249,297,751"
Thailand,113,"$7,387,500","$230,067,636"
Morocco,33,"$36,225,000","$228,679,211"
Romania,169,"$11,443,667","$217,091,242"
Chile,107,"$9,100,000","$197,599,484"
Slovakia,142,"$36,000,000","$169,730,457"
Uruguay,49,"$135,000,000","$169,081,480"
Paraguay,17,"$135,000,000","$165,740,252"
Iceland,74,"$17,850,000","$143,974,740"
Philippines,141,$0,"$127,787,470"
Israel,221,"$2,500,000","$127,304,234"
Ukraine,67,"$26,000,000","$100,045,778"
Kuwait,3,"$80,000,000","$96,773,609"
Peru,39,"$1,200,000","$96,643,784"
Lebanon,43,"$4,625,000","$87,335,106"
Islamic Republic of Iran,92,"$3,484,286","$84,839,862"
Greece,85,"$2,607,667","$79,076,710"
Cuba,40,$0,"$67,621,332"
Portugal,312,"$800,000","$62,289,370"
Bolivarian Republic of Venezuela,26,"$1,400,000","$56,321,422"
Bahamas,8,"$31,500,000","$56,207,252"
Latvia,49,"$9,500,000","$53,698,616"
Malaysia,31,"$25,000,000","$53,431,898"
Algeria,15,"$10,100,000","$47,510,533"
Greenland,3,"$21,000,000","$46,084,208"
The Former Yugoslav Republic of Macedonia,35,"$5,000,000","$45,205,813"
Botswana,4,$0,"$43,923,227"
Bulgaria,116,"$10,750,000","$43,619,501"
Singapore,34,$0,"$43,484,547"
Namibia,4,"$75,000,000","$34,034,218"
Estonia,38,"$1,250,000","$32,692,136"
Croatia,52,"$40,000,000","$31,200,050"
Colombia,79,"$2,000,000","$29,723,659"
German Democratic Republic,14,"$5,000,000","$29,541,134"
Kazakhstan,26,"$29,000,000","$28,819,388"
Lithuania,114,"$500,000","$26,918,828"
Cayman Islands,3,"$9,000,000","$19,894,696"
Costa Rica,10,"$20,000,000","$19,496,204"
Serbia,44,$0,"$17,337,300"
Indonesia,44,"$950,000","$16,801,532"
Saudi Arabia,10,"$85,000,000","$16,455,023"
Pakistan,62,"$1,100,000","$15,781,334"
Qatar,61,"$5,428,333","$15,049,399"
Bosnia and Herzegovina,28,"$20,500,000","$14,941,261"
Mongolia,13,"$30,000,000","$14,568,720"
Occupied Palestinian Territory,29,$0,"$12,768,360"
Egypt,36,"$2,625,000","$10,412,449"
Slovenia,48,"$780,000","$9,421,601"
Viet Nam,30,"$1,000,000","$8,834,925"
Dominican Republic,30,"$362,500","$8,680,822"
Montenegro,3,$0,"$7,795,158"
Cyprus,16,"$3,650,000","$7,741,760"
Belarus,12,$0,"$7,176,675"
Mauritania,2,$0,"$6,817,760"
Senegal,19,$0,"$6,628,454"
